param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy, average accuracy, standard deviation
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 1, 26.6, 26.6, 0
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 2, 58.27, 42.435, 15.835
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 3, 59.24, 48.0367, 15.1632
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 4, 60.57, 51.17, 14.209
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 5, 58.62, 52.66, 13.0536
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 6, 60.73, 54.005, 12.2899
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 7, 62.7, 55.2471, 11.778
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 8, 59.29, 55.7525, 11.0982
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 9, 62.25, 56.4744, 10.6608
param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy, average accuracy, standard deviation
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 1, 33.83, 33.83, 0
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 2, 61.87, 47.85, 14.02
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 3, 59.93, 51.8767, 12.7855
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 4, 64.25, 54.97, 12.3007
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 5, 62.15, 56.406, 11.3708
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 6, 62.66, 57.4483, 10.6385
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 7, 63.04, 58.2471, 10.0418
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 8, 60.28, 58.5012, 9.41728
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 9, 63.48, 59.0544, 9.01551
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 10, 63.52, 59.501, 8.65715
